"POINT_ID"|"sample_ID"|"X_LAEA"|"Y_LAEA"|"coarse"|"clay"|"silt"|"sand"|"pH_in_H2O"|"pH_in_CaCl"|"OC"|"CaCO3"|"N"|"P_x"|"K"|"CEC"|"Notes"|"GPS_LAT"|"GPS_LONG"|"X"|"Country"|"PTotal"|"Corine_LU"|"coords_x1"|"coords_x2"|"SURV_DATE"|"LC1"|"LC-parent"|"LC-Group"|"LC2"|"OBS_RADIUS"|"LU1"|"LU2"|"LC1_SPECIE"|"LC1_PERCEN"|"LC2_SPECIE"|"LC2_PERCEN"|"AREA_SIZE"|"TREES_HEIG"|"FEATURES_W"|"LAND_MNGT"|"WM_WATER_M"|"WM_SRC_IRR"|"WM_TYP_IRR"|"WM_DELIVER"|"SOIL_SURVE"|"SOIL_PLOUG"|"SOIL_CROP"|"SOIL_STONE"|"STRATA"|"STRATA2"|"nuts3"|"nuts0"|"area0"|"nuts1"|"area1"|"nuts2"|"area2"|"area3"|"Transect"|"CLIMANR"|"MAIN_CLIMA"|"LC"|"lc_GROUP"|"WRB_COD"|"AnnualPrec"|"WRB_LV1"|"ParMat1"|"ParMat2"|"Elevation(m)"|"slope (Degrees)"|"LONG"|"LAT"|"geom_X"|"geom_Y"
26521974|17844|2652000|1974000|8|10|14|76|4.84|3.75|76.5|0|3.2|13.2|80.1|6.7||38.92962|9.36144|14767|"Portugal"|126.21|29|2652000|1974000|"09JUL2009:00:00:00"|"D10"|"D1"|"D"|"8"|2|"U400"|"8"||5||0|3|2|2|2|8|0|0|0|1|2|4|1|4|0|"PT171"|"PT"|91957|"PT1"|88840|"PT17"|2852|1350|"D10;21;C10;D10;21;D10;24;61;2;61;2;B82;D10;X"|"5.3"|5|"D"|"D1"|"CM"|728.000000522286|"Cambisol"|"consolidated-clastic-sedimentary rocks"|"psammite or arenite"|150|3.43363046646118|-9.36143999975616|38.9296199995634|2652001.14840615|1973999.19078789
26561964|17845|2656000|1964000|28|41|48|11|7.31|6.81|25.3|7|2.2|12.8|159.8|65.3||38.85139|9.2905|14768|"Portugal"|367.16|12|2656000|1964000|"08JUL2009:00:00:00"|"B16"|"B1"|"B"|"8"|1|"U111"|"8"||2||0|3|0|0|2|1|2|2|8|1|1|4|1|1|0|"PT171"|"PT"|91957|"PT1"|88840|"PT17"|2852|1350|"B16;F00;1;31;1;F00;B16"|"5.3"|5|"B"|"B1"|"CM"|728.000000522286|"Cambisol"|"consolidated-clastic-sedimentary rocks"|"psammite or arenite"|154|7.73519086837769|-9.29050000007487|38.8513900000485|2655999.6553206|1964000.90034446
26581768|17641|2658000|1768000|14|25|29|46|7.4|6.96|56.9|56|5.2|119.8|884|25.4||37.13911|8.77525|14572|"Portugal"|1419.24|20|2658000|1768000|"07JUN2009:00:00:00"|"E30"|"E3"|"E"|"8"|2|"U400"|"8"||5||0|3|0|0|2|8|0|0|0|1|2|3|3|1|0|"PT150"|"PT"|91957|"PT1"|88840|"PT15"|4994|4994|"E30;D10;61;A;1"|"5.7"|5|"E"|"E3"|"LV"|446.290001995116|"Luvisol"|"sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin)"|"calcareous rocks"|56|0|-8.77525000018733|37.1391100001264|2658000.29713378|1768000.58232429
26581792|17643|2658000|1792000|18|26|49|25|6.09|5.43|19.7|2|2|0|118.9|6.7||37.34975|8.83372|14574|"Portugal"|245.45|28|2658000|1792000|"17JUN2009:00:00:00"|"D20"|"D2"|"D"|"8"|2|"U400"|"8"||5||0|3|0|0|2|8|0|0|0|1|2|2|4|4|0|"PT150"|"PT"|91957|"PT1"|88840|"PT15"|4994|4994|"D20;PI(;D10;61;)PI;D10;E30;D20;61"|"5.3"|5|"D"|"D2"|"PZ"|473.660000106692|"Podzol"|"metamorphic rocks"|"acid regional metamorphic rocks"|16|9.64804553985596|-8.8337200003777|37.3497500002624|2658000.75753974|1792000.19148085
26581954|17846|2658000|1954000|11|34|37|29|8.21|7.52|14.5|128|1.4|22.5|227|26.9||38.76854|9.2421|14769|"Portugal"|349.92|21|2658000|1954000|"07JUL2009:00:00:00"|"B41"|"B4"|"B"|"8"|1|"U113"|"8"||4||0|1|0|0|2|8|0|0|0|1|1|1|4|3|0|"PT171"|"PT"|91957|"PT1"|88840|"PT17"|2852|1350|"B41;E30;11;62;11;E30;A"|"5.3"|5|"B"|"B4"|"VR"|665.170001888275|"Vertisol"|"igneous rocks"|"basic plutonic rocks"|182|4.29863834381104|-9.2421000002148|38.7685399997213|2657999.53496881|1954001.13219986
26601784|17644|2660000|1784000|24|22|53|25|5.41|4.53|72.1|0|3.8|0|158.1|10.6||37.28397|8.79225|14575|"Portugal"|188.04|23|2660000|1784000|"18JUN2009:00:00:00"|"D10"|"D1"|"D"|"8"|2|"U400"|"8"||5||0|3|1|0|2|8|0|0|0|1|2|3|3|4|0|"PT150"|"PT"|91957|"PT1"|88840|"PT15"|4994|4994|"D10;61;C10;C30"|"5.3"|5|"D"|"D1"|"LV"|473.660000106692|"Luvisol"|"metamorphic rocks"|"acid regional metamorphic rocks"|93|2.94687962532043|-8.7922499999375|37.2839700002154|2660000.41693081|1783999.67444285
26601978|17831|2660000|1978000|7|22|39|39|7.66|7.15|24.3|20|2|0|242.3|14.2||38.98283|9.28225|14754|"Portugal"|345.26|2|2660000|1978000|"09JUL2009:00:00:00"|"B71"|"B7"|"B"|"E30"|2|"U361"|"8"||2||4|3|0|0|2|8|0|0|0|1|2|3|1|3|0|"PT171"|"PT"|91957|"PT1"|88840|"PT17"|2852|1350|"B71;E30;B71;23;62;A"|"5.3"|5|"B"|"B7"|"CM"|728.000000522286|"Cambisol"|"sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin)"|"calcareous rocks"|96|2.56063890457153|-9.28225000003744|38.9828300000045|2660000.07441198|1978000.27147372
26621974|17843|2662000|1974000|19|11|17|72|6.95|6.32|22.4|2|1.4|0|73.9|6.4||38.95245|9.24936|14766|"Portugal"|148.17|25|2662000|1974000|"09JUL2009:00:00:00"|"D10"|"D1"|"D"|"8"|2|"U400"|"8"||5||0|3|2|2|2|8|0|0|0|1|2|3|2|4|0|"PT171"|"PT"|91957|"PT1"|88840|"PT17"|2852|1350|"D10;61;D10;PI(;D10;)PI;E30;D10;PI(;D10;)PI"|"5.3"|5|"D"|"D1"|"CM"|728.000000522286|"Cambisol"|"consolidated-clastic-sedimentary rocks"|"psammite or arenite"|269|5.06319808959961|-9.24935999956426|38.9524500001674|2662001.27636428|1974002.37065992
26701780|17639|2670000|1780000|19|39|48|13|4.99|4.21|20.5|1|1.8|0|103|5.3||37.2709|8.6729|14570|"Portugal"|295.08|29|2670000|1780000|"03JUN2009:00:00:00"|"D10"|"D1"|"D"|"8"|2|"U364"|"8"||5||0|2|1|0|2|8|0|0|0|1|2|2|4|4|0|"PT150"|"PT"|91957|"PT1"|88840|"PT15"|4994|4994|"D10;C10;PI(;D10;)PI;D10"|"5.7"|5|"D"|"D1"|"LV"|473.660000106692|"Luvisol"|"metamorphic rocks"|"weakly metamorphic rocks"|173|1.46044516563416|-8.672899999935|37.270900000035|2670000.45878845|1779999.0757613
26702014|17839|2670000|2014000|2|16|16|67|5.96|4.97|24.1|0|1.5|13.6|138.2|8.2||39.32008|9.2644|14762|"Portugal"|352.95|29|2670000|2014000|"28JUL2009:00:00:00"|"C10"|"C1"|"C"|"F00"|2|"U120"|"U112"|"C1E"|3||4|3|2|2|2|5|0|0|0|1|2|2|1|4|0|"PT16B"|"PT"|91957|"PT1"|88840|"PT16"|28189|2219|"C10;F00;C10;D20;21;D20;21;D20;61;D20;D10;21;D10;21;C10"|"5.3"|5|"C"|"C1"|"LV"|616.92999856621|"Luvisol"|"sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin)"|"calcareous rocks"|164|1.2809591293335|-9.26439999976014|39.3200800003918|2670000.15056664|2013999.89140811
