SQUARE,PLOT,ANO,PH,LOI,C_CONC_LOI,C_STOCK_LOI,BULK_DENSITY,MOISTURE,N_PERCENT,N_STOCK,PO4_OLSEN,LC07,LC07_NUM,COUNTRY,COUNTY07,EZ_DESC_07,STATE_PH,STATE_NUMBER
AZFZMV,JQWCHLFHEI,2007,4.31,93.98097,516.895335,78.47172523,0.101209046,86.39689559,,,,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
AZFZMV,TBVIDVQSYN,2007,4.26,95.67244,526.19842,105.3531998,0.133477152,83.97785808,,,,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
AZFZMV,UIQCIDIIWP,2007,5.14,87.1792,479.4856,154.0449977,0.214180916,67.54845293,,,,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BBIJIG,HJOMAUMGGT,2007,4.8,59.37095,326.540225,123.9156635,0.252987032,70.13814276,1.62,6.147584879,10.3,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
BBIJIG,HVBFNPCNXS,2007,5.03,22.86194,125.74067,128.2465775,0.679952782,28.15402337,0.81,8.261426298,119,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BBIJIG,OPMJBPTFOU,2007,4.68,86.16865,473.927575,85.97038272,0.120933222,83.48404546,,,52,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
BBIJIG,TOCAAYKWIC,2007,5.18,26.40156,145.20858,74.81219388,0.343470034,58.12663722,1.05,5.409653037,21.4,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BBIJIG,YRRYXGNVCQ,2007,5.24,56.92997,313.114835,83.45979742,0.177697952,79.12136513,,,10,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BBYZZW,HORAQAYXRV,2007,5.98,9.703429,53.3688595,68.87004552,0.860302508,40.0717048,,,,27s,35,SCO,Scottish Borders,Lowlands (Scotland),Moderadamente Ácido,3
BBYZZW,ORUXDJHJJR,2007,6.32,15.05123,82.781765,82.02375559,0.660562187,45.85370574,,,,27s,35,SCO,Scottish Borders,Lowlands (Scotland),Levemenete Ácido,4
BBYZZW,PZXJAQNOCD,2007,4.21,16.89708,92.93394,65.13356049,0.467239134,54.58777598,,,,27s,35,SCO,Scottish Borders,Lowlands (Scotland),Fuertemenete Ácido,2
BBYZZW,QZJHLGDTRJ,2007,3.8,12.92421,71.083155,53.1570458,0.498543298,50.43796389,,,,27s,35,SCO,Scottish Borders,Lowlands (Scotland),Extremadamente Ácido,1
BBYZZW,RGAPVRQVCJ,2007,5.16,21.13009,116.215495,87.08603807,0.499566419,59.61312295,,,,27s,35,SCO,Scottish Borders,Lowlands (Scotland),Moderadamente Ácido,3
BCEQHP,CNJTUUFAID,2007,6.67,5.536706,30.451883,45.88526749,1.004541438,17.04164129,,,,16e,15,ENG,Northumberland,Westerly lowlands (England),Neutro,5
BCEQHP,DLTGBZDUYV,2007,7.17,7.004084,38.522462,62.23037046,1.076953847,23.60514524,,,,16e,15,ENG,Northumberland,Westerly lowlands (England),Neutro,5
BCEQHP,EHYQYIJDTF,2007,6.88,50.33717,276.854435,120.966563,0.291288002,72.72193086,,,,16e,15,ENG,Northumberland,Westerly lowlands (England),Neutro,5
BCEQHP,GUZSVYKHAC,2007,6.9,3.652564,20.089102,42.26997479,1.402749769,17.09061323,,,,16e,15,ENG,Northumberland,Westerly lowlands (England),Neutro,5
BCEQHP,YPZKSMLXSU,2007,7.57,5.672164,31.196902,59.04503088,1.261771246,24.02813797,,,,16e,15,ENG,Northumberland,Westerly lowlands (England),Levemenete Alcalino,6
BFRWQY,FYAIPNWBPG,2007,6.95,2.517272,13.844996,28.11401651,1.353751035,12.06761848,,,,3e,3,ENG,Norfolk,Easterly lowlands (England),Neutro,5
BFRWQY,PDKRRETOAE,2007,4.41,5.145917,28.3025435,57.6834704,1.358734664,15.1120746,,,,3e,3,ENG,Norfolk,Easterly lowlands (England),Fuertemenete Ácido,2
BFRWQY,SREDGYUYUK,2007,4.59,1.916235,10.5392925,25.62647022,1.621011418,13.2360269,,,,3e,3,ENG,Norfolk,Easterly lowlands (England),Fuertemenete Ácido,2
BFRWQY,VSIBGOETJY,2007,7.05,2.435035,13.3926925,20.62604728,1.02673142,11.32912245,,,,3e,3,ENG,Norfolk,Easterly lowlands (England),Neutro,5
BGLCUJ,OICFVOXEON,2007,7.01,5.524735,30.3860425,56.19246247,1.232856883,26.57602099,,,,11e,11,ENG,Gloucestershire,Easterly lowlands (England),Neutro,5
BGLCUJ,PTMSMHQBKS,2007,7.86,6.0095,33.05225,62.16865204,1.253946948,27.78859153,,,,11e,11,ENG,Gloucestershire,Easterly lowlands (England),Levemenete Alcalino,6
BGLCUJ,PUIYLTBEJF,2007,6.7,8.331022,45.820621,78.36461149,1.140165131,31.28446327,,,,11e,11,ENG,Gloucestershire,Easterly lowlands (England),Neutro,5
BGLCUJ,YNFAQXQMZB,2007,5.26,16.38479,90.116345,83.44010732,0.617276901,44.16155261,,,,11e,11,ENG,Gloucestershire,Easterly lowlands (England),Moderadamente Ácido,3
BHNAKW,ERCGCSFBSU,2007,6.55,12.10161,66.558855,79.11217285,0.792403183,26.98890844,0.6,7.131628648,9.96,7s,25,SCO,Dumfries & Galloway,Lowlands (Scotland),Neutro,5
BHNAKW,MERLHQFYEK,2007,6.53,10.0231,55.12705,59.07347602,0.714391888,25.15461906,0.47,5.036462813,51.4,7s,25,SCO,Dumfries & Galloway,Lowlands (Scotland),Neutro,5
BIHYSL,ASYTZGATTM,2007,8.46,2.464077,13.5524235,30.57957956,1.504261313,12.94364916,,,,3e,3,ENG,Norfolk,Easterly lowlands (England),Moderadamente Alcalino,7
BIHYSL,BYAYTWTWMZ,2007,6.78,5.435445,29.8949475,45.83527783,1.022141012,20.32877146,,,,3e,3,ENG,Norfolk,Easterly lowlands (England),Neutro,5
BIHYSL,DKWHJNOFLK,2007,8.4,2.453744,13.495592,30.89269562,1.526063504,11.66661727,,,,3e,3,ENG,Norfolk,Easterly lowlands (England),Moderadamente Alcalino,7
BIHYSL,KYDQMFFLID,2007,8.15,1.864396,10.254178,25.78304954,1.67626305,10.56431937,,,,3e,3,ENG,Norfolk,Easterly lowlands (England),Moderadamente Alcalino,7
BIHYSL,YGEGWMGRZB,2007,8.67,2.230279,12.2665345,24.98871572,1.358097009,12.3898491,,,,3e,3,ENG,Norfolk,Easterly lowlands (England),Moderadamente Alcalino,7
BIQGKG,BUUHSLYGAG,2007,4,35.25218,193.88699,77.54487688,0.26663256,60.0481747,,,,7w,43,WAL,Gwynedd,Lowlands (Wales),Fuertemenete Ácido,2
BIQGKG,ETJTFQALJQ,2007,5.16,3.542386,19.483123,41.4276638,1.417557264,15.74666317,,,,7w,43,WAL,Gwynedd,Lowlands (Wales),Moderadamente Ácido,3
BIQGKG,UXBVWGFRUG,2007,6.76,2.939147,16.1653085,30.167731,1.244134664,18.29856468,,,,7w,43,WAL,Gwynedd,Lowlands (Wales),Neutro,5
BIQGKG,ZUHTMNXDTN,2007,6.36,22.44614,123.45377,116.7514153,0.630473066,51.83945086,,,,7w,43,WAL,Gwynedd,Lowlands (Wales),Levemenete Ácido,4
BIQGKG,ZXBIADYMSJ,2007,4.88,17.81622,97.98921,95.95963841,0.652858537,45.10388705,,,,7w,43,WAL,Gwynedd,Lowlands (Wales),Fuertemenete Ácido,2
BJUBLC,DDCIZYATBC,2007,6.44,6.926528,38.095904,68.28571252,1.194979081,29.27175713,0.28,5.018912139,35.7,32s,40,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),Levemenete Ácido,4
BJUBLC,EUTGZPKEHY,2007,5.71,8.949665,49.2231575,74.39399837,1.007574512,30.17412505,0.34,5.138630013,99.6,32s,40,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BJUBLC,EYWRYYUHNG,2007,5.9,8.085505,44.4702775,71.74883047,1.075607267,31.03688068,0.33,5.324255972,61.9,32s,40,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BJUBLC,NQHXDIOCWM,2007,6.68,10.00288,55.01584,68.54350119,0.830591107,38.37135794,0.41,5.10813531,15.1,32s,40,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),Neutro,5
BJUBLC,PVDZKHBJZQ,2007,6.21,5.607398,30.840689,46.94471706,1.014778821,29.40189324,0.26,3.957637404,30.7,32s,40,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),Levemenete Ácido,4
BKRDLI,BMWXWEVKRL,2007,5.95,30.08016,165.44088,83.85725708,0.337914293,65.51634225,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BKRDLI,FMDVWDJJKN,2007,5.21,33.7485,185.61675,123.3111919,0.442888162,59.03307488,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BKRDLI,OJTPZKXNBS,2007,5.51,29.05332,159.79326,105.3907149,0.439696121,61.64313238,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BKRDLI,QSELEPESJX,2007,6.23,21.77706,119.77383,97.75221179,0.544093323,53.64036178,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Levemenete Ácido,4
BKRDLI,ZKFMTPGMJP,2007,5.9,24.60375,135.320625,81.31700106,0.400613979,57.69188473,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
